event,seq,utc,detail
ACK,4003,2026-09-26T17:10:34.669Z,
ACK,4004,2026-09-26T17:10:34.760Z,
ACK,4005,2026-09-26T17:10:34.860Z,
ACK,4006,2026-09-26T17:10:34.967Z,
ACK,4007,2026-09-26T17:10:35.073Z,
ACK,4008,2026-09-26T17:10:35.166Z,
ACK,4009,2026-09-26T17:10:35.277Z,
ACK,4010,2026-09-26T17:10:35.379Z,
ACK,4011,2026-09-26T17:10:35.465Z,
ACK,4012,2026-09-26T17:10:35.565Z,
ACK,4013,2026-09-26T17:10:35.672Z,
ACK,4014,2026-09-26T17:10:35.771Z,
ACK,4015,2026-09-26T17:10:35.870Z,
ACK,4016,2026-09-26T17:10:35.966Z,
ACK,4017,2026-09-26T17:10:36.072Z,
ACK,4018,2026-09-26T17:10:36.167Z,
ACK,4019,2026-09-26T17:10:36.277Z,
ACK,4020,2026-09-26T17:10:36.368Z,
ACK,4021,2026-09-26T17:10:36.539Z,
ACK,4022,2026-09-26T17:10:36.598Z,
ACK,4023,2026-09-26T17:10:36.696Z,
ACK,4024,2026-09-26T17:10:36.852Z,
ACK,4025,2026-09-26T17:10:36.913Z,
ACK,4026,2026-09-26T17:10:37.013Z,
ACK,4027,2026-09-26T17:10:37.172Z,
ACK,4028,2026-09-26T17:10:37.237Z,
ACK,4029,2026-09-26T17:10:37.338Z,
ACK,4030,2026-09-26T17:10:37.439Z,
ACK,4031,2026-09-26T17:10:37.529Z,
ACK,4032,2026-09-26T17:10:37.689Z,
ACK,4033,2026-09-26T17:10:37.764Z,
ACK,4034,2026-09-26T17:10:37.851Z,
ACK,4035,2026-09-26T17:10:37.970Z,
ACK,4036,2026-09-26T17:10:38.053Z,
ACK,4037,2026-09-26T17:10:38.220Z,
ACK,4038,2026-09-26T17:10:38.290Z,
ACK,4039,2026-09-26T17:10:38.389Z,
ACK,4040,2026-09-26T17:10:38.496Z,
ACK,4041,2026-09-26T17:10:38.603Z,
ACK,4042,2026-09-26T17:10:38.695Z,
ACK,4043,2026-09-26T17:10:38.781Z,
ACK,4044,2026-09-26T17:10:38.885Z,
ACK,4045,2026-09-26T17:10:38.982Z,
ACK,4046,2026-09-26T17:10:39.108Z,
ACK,4047,2026-09-26T17:10:39.191Z,
ACK,4048,2026-09-26T17:10:39.282Z,
ACK,4049,2026-09-26T17:10:39.402Z,
ACK,4050,2026-09-26T17:10:39.495Z,
ACK,4051,2026-09-26T17:10:39.606Z,
ACK,4052,2026-09-26T17:10:39.704Z,
ACK,4053,2026-09-26T17:10:39.811Z,
ACK,4054,2026-09-26T17:10:40.130Z,
ACK,4055,2026-09-26T17:10:40.187Z,
ACK,4056,2026-09-26T17:10:40.293Z,
ACK,4057,2026-09-26T17:10:40.396Z,
ACK,4058,2026-09-26T17:10:40.573Z,
ACK,4059,2026-09-26T17:10:40.631Z,
ACK,4060,2026-09-26T17:10:40.737Z,
ACK,4061,2026-09-26T17:10:40.833Z,
ACK,4062,2026-09-26T17:10:40.942Z,
ACK,4063,2026-09-26T17:10:41.073Z,
ACK,4064,2026-09-26T17:10:41.144Z,
ACK,4065,2026-09-26T17:10:41.251Z,
ACK,4066,2026-09-26T17:10:41.347Z,
ACK,4067,2026-09-26T17:10:41.452Z,
ACK,4068,2026-09-26T17:10:41.552Z,
ACK,4069,2026-09-26T17:10:41.648Z,
ACK,4070,2026-09-26T17:10:41.753Z,
ACK,4071,2026-09-26T17:10:41.851Z,
