event,seq,utc,detail
ACK,8121,2026-09-26T17:23:07.229Z,
ACK,8122,2026-09-26T17:23:07.635Z,
ACK,8123,2026-09-26T17:23:07.769Z,
ACK,8124,2026-09-26T17:23:07.898Z,
ACK,8125,2026-09-26T17:23:08.090Z,
ACK,8126,2026-09-26T17:23:08.226Z,
ACK,8127,2026-09-26T17:23:08.381Z,
ACK,8128,2026-09-26T17:23:08.694Z,
ACK,8129,2026-09-26T17:23:08.832Z,
ACK,8130,2026-09-26T17:23:08.966Z,
ACK,8131,2026-09-26T17:23:09.100Z,
ACK,8132,2026-09-26T17:23:09.319Z,
ACK,8133,2026-09-26T17:23:09.452Z,
ACK,8134,2026-09-26T17:23:09.594Z,
ACK,8135,2026-09-26T17:23:09.742Z,
ACK,8136,2026-09-26T17:23:09.882Z,
ACK,8137,2026-09-26T17:23:10.237Z,
ACK,8138,2026-09-26T17:23:10.426Z,
ACK,8139,2026-09-26T17:23:10.563Z,
FAIL,8140,2026-09-26T17:23:10.681Z,"(0, b'Unknown error')"
RECONNECT,8140,2026-09-26T17:23:12.097Z,connected
FAIL,8140,2026-09-26T17:23:12.158Z,"(3906, b'Failed to update database ""drilldb"" because the database is read-only.DB-Lib error message 20018, severity 16:\nGeneral SQL Server error: Check message"
RECONNECT,8140,2026-09-26T17:23:13.509Z,connected
FAIL,8140,2026-09-26T17:23:13.578Z,"(3906, b'Failed to update database ""drilldb"" because the database is read-only.DB-Lib error message 20018, severity 16:\nGeneral SQL Server error: Check message"
RECONNECT,8140,2026-09-26T17:23:15.174Z,connected
ACK,8140,2026-09-26T17:23:17.235Z,already-present
ACK,8141,2026-09-26T17:23:17.295Z,
ACK,8142,2026-09-26T17:23:17.394Z,
ACK,8143,2026-09-26T17:23:17.497Z,
ACK,8144,2026-09-26T17:23:17.609Z,
ACK,8145,2026-09-26T17:23:17.703Z,
ACK,8146,2026-09-26T17:23:17.801Z,
ACK,8147,2026-09-26T17:23:17.896Z,
ACK,8148,2026-09-26T17:23:17.994Z,
ACK,8149,2026-09-26T17:23:18.113Z,
ACK,8150,2026-09-26T17:23:18.200Z,
ACK,8151,2026-09-26T17:23:18.298Z,
ACK,8152,2026-09-26T17:23:18.397Z,
ACK,8153,2026-09-26T17:23:18.727Z,
ACK,8154,2026-09-26T17:23:18.786Z,
ACK,8155,2026-09-26T17:23:18.930Z,
ACK,8156,2026-09-26T17:23:18.996Z,
ACK,8157,2026-09-26T17:23:19.134Z,
ACK,8158,2026-09-26T17:23:19.191Z,
ACK,8159,2026-09-26T17:23:19.334Z,
ACK,8160,2026-09-26T17:23:19.399Z,
ACK,8161,2026-09-26T17:23:19.498Z,
ACK,8162,2026-09-26T17:23:19.627Z,
ACK,8163,2026-09-26T17:23:19.730Z,
ACK,8164,2026-09-26T17:23:19.798Z,
ACK,8165,2026-09-26T17:23:19.936Z,
ACK,8166,2026-09-26T17:23:20.023Z,
ACK,8167,2026-09-26T17:23:20.172Z,
ACK,8168,2026-09-26T17:23:20.242Z,
ACK,8169,2026-09-26T17:23:20.367Z,
ACK,8170,2026-09-26T17:23:20.480Z,
ACK,8171,2026-09-26T17:23:20.548Z,
ACK,8172,2026-09-26T17:23:20.651Z,
ACK,8173,2026-09-26T17:23:20.788Z,
ACK,8174,2026-09-26T17:23:20.864Z,
ACK,8175,2026-09-26T17:23:20.995Z,
ACK,8176,2026-09-26T17:23:21.094Z,
ACK,8177,2026-09-26T17:23:21.162Z,
ACK,8178,2026-09-26T17:23:21.333Z,
ACK,8179,2026-09-26T17:23:21.402Z,
ACK,8180,2026-09-26T17:23:21.572Z,
ACK,8181,2026-09-26T17:23:21.641Z,
ACK,8182,2026-09-26T17:23:21.779Z,
ACK,8183,2026-09-26T17:23:21.854Z,
ACK,8184,2026-09-26T17:23:22.086Z,
ACK,8185,2026-09-26T17:23:22.153Z,
ACK,8186,2026-09-26T17:23:22.255Z,
ACK,8187,2026-09-26T17:23:22.392Z,
ACK,8188,2026-09-26T17:23:22.494Z,
ACK,8189,2026-09-26T17:23:22.563Z,
ACK,8190,2026-09-26T17:23:22.701Z,
ACK,8191,2026-09-26T17:23:22.770Z,
ACK,8192,2026-09-26T17:23:22.938Z,
ACK,8193,2026-09-26T17:23:22.999Z,
ACK,8194,2026-09-26T17:23:23.099Z,
ACK,8195,2026-09-26T17:23:23.211Z,
ACK,8196,2026-09-26T17:23:23.301Z,
ACK,8197,2026-09-26T17:23:23.405Z,
ACK,8198,2026-09-26T17:23:23.500Z,
ACK,8199,2026-09-26T17:23:23.598Z,
ACK,8200,2026-09-26T17:23:23.727Z,
ACK,8201,2026-09-26T17:23:23.815Z,
ACK,8202,2026-09-26T17:23:23.904Z,
ACK,8203,2026-09-26T17:23:24.013Z,
